ID,Material_Description
22,"AIR COOLED INTERCOOLER - 3"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASTM A312"
23,"SUCTION HEADER - 16"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASTM A312"
24,"CABLE GLAND - 4"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ISO 9001"
25,"BELLOW - 2"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
26,"CONTAINER ASSEMBLY - 2"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASTM A312"
27,"BELLOW - 6"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
28,"BALL VALVE - 4"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
29,"CABLE GLAND - 6"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
30,"ASSEMBLY COMPRESSOR - 20"" - 150# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
31,"ASSEMBLY COMPRESSOR - 8"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
32,"MOTOR SPARES - 16"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
33,"MOVABLE STOOL - 12"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
34,"FIXED PORTABLE STOOL - 20"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
35,"MOVABLE STOOL - 20"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ASME B16.21"
36,"SPUR GEAR PINION SHAFT - 10"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
37,"BALL VALVE - 6"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASTM A312"
38,"SUCTION HEADER - 3"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
39,"SUCTION HEADER - 12"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASME B16.21"
40,"BELLOW - 4"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
41,"INSULATION GASKET KIT - 10"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
42,"CONTAINER ASSEMBLY - 3"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASME B16.21"
43,"BELLOW - 16"" - 300# - SS-316, DRAWING NO. PRJ-R5498-2031, ISO 9001"
44,"CABLE GLAND - 16"" - 150# - SS-316, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
45,"MOTOR SPARES - 3"" - 600# - SS-316, DRAWING NO. PRJ-R5463-124, ASME B16.5"
46,"BALL VALVE - 16"" - 300# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
47,"CABLE GLAND - 8"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
48,"CABLE GLAND - 4"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
49,"AIR COOLED INTERCOOLER - 3"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASME B16.5"
50,"HOUSING BOTTOM - 8"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ASTM A312"
51,"INSULATION GASKET KIT - 16"" - 600# - SS-316, DRAWING NO. PRJ-R5463-124, ASTM A312"
52,"FIXED PORTABLE STOOL - 16"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
53,"BALL VALVE - 2"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
54,"INSULATION GASKET KIT - 12"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ISO 9001"
55,"SPUR GEAR PINION SHAFT - 6"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
56,"BELLOW - 2"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
57,"FIXED PORTABLE STOOL - 3"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
58,"MOTOR SPARES - 20"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
59,"SUCTION HEADER - 6"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
60,"BARREL NIPPLE - 10"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
61,"MOTOR SPARES - 6"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASME B16.21"
62,"MOTOR SPARES - 8"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASME B16.21"
63,"FIXED PORTABLE STOOL - 2"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
64,"FIXED PORTABLE STOOL - 2"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
65,"SUCTION HEADER - 2"" - 300# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
66,"BALL VALVE - 3"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
67,"BELLOW - 12"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASME B16.21"
68,"BALL VALVE - 3"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
69,"HOUSING BOTTOM - 2"" - 600# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
70,"BARREL NIPPLE - 3"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
71,"CONTAINER ASSEMBLY - 4"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ISO 9001"
72,"BELLOW - 12"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASTM A312"
73,"MOVABLE STOOL - 2"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASTM A312"
74,"SUCTION HEADER - 20"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASME B16.5"
75,"CABLE GLAND - 16"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ISO 9001"
76,"MOVABLE STOOL - 16"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
77,"BELLOW - 12"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASME B16.5"
78,"INSULATION GASKET KIT - 6"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
79,"SPUR GEAR PINION SHAFT - 16"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
80,"SPUR GEAR PINION SHAFT - 20"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
81,"BELLOW - 6"" - 300# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
82,"INSULATION GASKET KIT - 2"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
83,"HOUSING BOTTOM - 12"" - 300# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
84,"FIXED PORTABLE STOOL - 4"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
85,"SUCTION HEADER - 2"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ISO 9001"
86,"ASSEMBLY COMPRESSOR - 3"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
87,"MOTOR SPARES - 20"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
88,"CABLE GLAND - 8"" - 600# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
89,"CABLE GLAND - 3"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
90,"MOTOR SPARES - 12"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
91,"FIXED PORTABLE STOOL - 2"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ISO 9001"
92,"SUCTION HEADER - 20"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2031, ASTM A312"
93,"MOTOR SPARES - 20"" - 600# - SS-316, DRAWING NO. PRJ-R5463-124, ASME B16.21"
94,"HOUSING BOTTOM - 3"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
95,"HOUSING BOTTOM - 2"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
96,"INSULATION GASKET KIT - 4"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
97,"INSULATION GASKET KIT - 12"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
98,"BARREL NIPPLE - 6"" - 150# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
99,"HOUSING BOTTOM - 8"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2031, ASTM A312"
100,"HOUSING BOTTOM - 4"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ISO 9001"
101,"SPUR GEAR PINION SHAFT - 2"" - 150# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ISO 9001"
102,"SUCTION HEADER - 20"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
103,"CONTAINER ASSEMBLY - 16"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
104,"AIR COOLED INTERCOOLER - 16"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
105,"INSULATION GASKET KIT - 6"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
106,"CABLE GLAND - 2"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ASTM A312"
107,"BARREL NIPPLE - 8"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
108,"SPUR GEAR PINION SHAFT - 12"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
109,"FIXED PORTABLE STOOL - 4"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASTM A312"
110,"ASSEMBLY COMPRESSOR - 2"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
111,"MOVABLE STOOL - 12"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ISO 9001"
112,"BARREL NIPPLE - 2"" - 300# - SS-316, DRAWING NO. PRJ-R5463-124, ASME B16.5"
113,"BARREL NIPPLE - 4"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
114,"INSULATION GASKET KIT - 3"" - 600# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
115,"SPUR GEAR PINION SHAFT - 20"" - 300# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
116,"MOTOR SPARES - 4"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
117,"CONTAINER ASSEMBLY - 3"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
118,"MOTOR SPARES - 6"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
119,"FIXED PORTABLE STOOL - 12"" - 150# - SS-316, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
120,"FIXED PORTABLE STOOL - 6"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
121,"CABLE GLAND - 16"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ISO 9001"
122,"MOVABLE STOOL - 20"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
123,"MOTOR SPARES - 3"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASTM A312"
124,"AIR COOLED INTERCOOLER - 12"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ISO 9001"
125,"CABLE GLAND - 12"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
126,"CABLE GLAND - 10"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
127,"ASSEMBLY COMPRESSOR - 8"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASME B16.21"
128,"MOTOR SPARES - 10"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ISO 9001"
129,"INSULATION GASKET KIT - 6"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
130,"BELLOW - 8"" - 600# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
131,"ASSEMBLY COMPRESSOR - 6"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
132,"CONTAINER ASSEMBLY - 8"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASTM A312"
133,"FIXED PORTABLE STOOL - 10"" - 150# - SS-316, DRAWING NO. PRJ-R5498-2031, ISO 9001"
134,"MOTOR SPARES - 12"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
135,"AIR COOLED INTERCOOLER - 12"" - 150# - SS-316, DRAWING NO. PRJ-R5498-2037, ISO 9001"
136,"BARREL NIPPLE - 12"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ASTM A312"
137,"CABLE GLAND - 12"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ISO 9001"
138,"FIXED PORTABLE STOOL - 12"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
139,"SUCTION HEADER - 20"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
140,"INSULATION GASKET KIT - 2"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
141,"BARREL NIPPLE - 4"" - 300# - SS-316, DRAWING NO. PRJ-R5463-124, ASTM A312"
142,"BELLOW - 10"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ISO 9001"
143,"SUCTION HEADER - 12"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
144,"SUCTION HEADER - 4"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
145,"BALL VALVE - 10"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASME B16.5"
146,"HOUSING BOTTOM - 3"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASME B16.5"
147,"SUCTION HEADER - 20"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASTM A312"
148,"CONTAINER ASSEMBLY - 2"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ASME B16.21"
149,"BARREL NIPPLE - 12"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
150,"BARREL NIPPLE - 6"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASTM A312"
151,"FIXED PORTABLE STOOL - 16"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASTM A312"
152,"HOUSING BOTTOM - 6"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
153,"SPUR GEAR PINION SHAFT - 3"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2031, ISO 9001"
154,"ASSEMBLY COMPRESSOR - 3"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ISO 9001"
155,"BARREL NIPPLE - 4"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
156,"BELLOW - 10"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
157,"MOTOR SPARES - 20"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
158,"ASSEMBLY COMPRESSOR - 6"" - 150# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
159,"INSULATION GASKET KIT - 3"" - 600# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
160,"SUCTION HEADER - 3"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
161,"SPUR GEAR PINION SHAFT - 10"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
162,"FIXED PORTABLE STOOL - 10"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ISO 9001"
163,"BARREL NIPPLE - 4"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
164,"FIXED PORTABLE STOOL - 16"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
165,"SPUR GEAR PINION SHAFT - 8"" - 300# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
166,"ASSEMBLY COMPRESSOR - 10"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2031, ISO 9001"
167,"INSULATION GASKET KIT - 12"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
168,"SPUR GEAR PINION SHAFT - 6"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
169,"AIR COOLED INTERCOOLER - 3"" - 300# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
170,"ASSEMBLY COMPRESSOR - 10"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
171,"MOTOR SPARES - 8"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ASTM A312"
172,"FIXED PORTABLE STOOL - 8"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
173,"BARREL NIPPLE - 16"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2031, ISO 9001"
174,"SPUR GEAR PINION SHAFT - 16"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
175,"SUCTION HEADER - 4"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
176,"HOUSING BOTTOM - 4"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASME B16.21"
177,"CABLE GLAND - 8"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASTM A312"
178,"AIR COOLED INTERCOOLER - 20"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASTM A312"
179,"SUCTION HEADER - 20"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
180,"BALL VALVE - 16"" - 150# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
181,"BALL VALVE - 3"" - 150# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
182,"HOUSING BOTTOM - 3"" - 150# - SS-316, DRAWING NO. PRJ-R5498-2037, ISO 9001"
183,"BELLOW - 8"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
184,"AIR COOLED INTERCOOLER - 6"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
185,"HOUSING BOTTOM - 3"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
186,"SUCTION HEADER - 20"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
187,"CONTAINER ASSEMBLY - 4"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
188,"BARREL NIPPLE - 6"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
189,"HOUSING BOTTOM - 20"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
190,"CONTAINER ASSEMBLY - 3"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASTM A312"
191,"MOTOR SPARES - 3"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ISO 9001"
192,"MOVABLE STOOL - 8"" - 600# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
193,"SUCTION HEADER - 20"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
194,"SUCTION HEADER - 20"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
195,"SUCTION HEADER - 3"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
